time_difference,公告日期,证券代码,证券简称,违规年度
0.0,2020,671,阳光城,2020.0
5.0,2023,600069,退市银鸽,2018.0
1.0,2018,672,上峰水泥,2017.0
4.0,2023,600069,退市银鸽,2019.0
0.0,2021,673,*ST 当代,2021.0
1.0,2018,600074,*ST 保千,2017.0
3.0,2019,600293,三峡新材,2016.0
2.0,2021,676,智度股份,2019.0
6.0,2017,600078,澄星股份,2011.0
2.0,2019,600293,三峡新材,2017.0
1.0,2021,676,智度股份,2020.0
5.0,2017,600078,澄星股份,2012.0
0.0,2021,676,智度股份,2021.0
6.0,2023,600079,人福医药,2017.0
4.0,2018,681,视觉中国,2014.0
5.0,2023,600079,人福医药,2018.0
4.0,2021,2369,卓翼科技,2017.0
3.0,2018,681,视觉中国,2015.0
4.0,2023,600079,人福医药,2019.0
3.0,2021,2369,卓翼科技,2018.0
2.0,2018,681,视觉中国,2016.0
3.0,2023,600079,人福医药,2020.0
2.0,2021,2369,卓翼科技,2019.0
1.0,2018,681,视觉中国,2017.0
4.0,2020,600086,*ST 金钰,2016.0
1.0,2021,2369,卓翼科技,2020.0
0.0,2018,681,视觉中国,2018.0
1813.0,2020,600086,*ST 金钰,207.0
0.0,2021,683,远兴能源,2021.0
2.0,2020,600086,*ST 金钰,2018.0
1.0,2022,686,东北证券,2021.0
1.0,2020,600086,*ST 金钰,2019.0
6.0,2022,687,*ST 华讯,2016.0
6.0,2022,600090,退市济堂,2016.0
5.0,2022,687,*ST 华讯,2017.0
5.0,2022,600090,退市济堂,2017.0
4.0,2022,687,*ST 华讯,2018.0
4.0,2022,600090,退市济堂,2018.0
0.0,2022,603615,茶花股份,2022.0
1.0,2021,688,国城矿业,2020.0
3.0,2022,600090,退市济堂,2019.0
1.0,2020,300203,聚光科技,2019.0
1.0,2019,690,宝新能源,2018.0
1.0,2019,600106,重庆路桥,2018.0
1.0,2018,2418,康盛股份,2017.0
0.0,2017,691,ST 亚太,2017.0
4.0,2022,600112,*ST 天成,2018.0
1.0,2018,692,惠天热电,2017.0
6.0,2023,600122,ST 宏图,2017.0
1.0,2020,300234,开尔新材,2019.0
4.0,2017,693,*ST 华泽,2013.0
5.0,2023,600122,ST 宏图,2018.0
1.0,2020,300682,朗新科技,2019.0
3.0,2017,693,*ST 华泽,2014.0
4.0,2023,600136,ST 明诚,2019.0
6.0,2019,600594,益佰制药,2013.0
2.0,2017,693,*ST 华泽,2015.0
3.0,2023,600136,ST 明诚,2020.0
5.0,2019,600594,益佰制药,2014.0
1.0,2023,695,滨海能源,2022.0
9.0,2021,600143,金发科技,2012.0
4.0,2019,600594,益佰制药,2015.0
3.0,2023,697,炼石航空,2020.0
8.0,2021,600143,金发科技,2013.0
3.0,2019,600594,益佰制药,2016.0
2.0,2023,697,炼石航空,2021.0
7.0,2021,600143,金发科技,2014.0
2.0,2019,600594,益佰制药,2017.0
1.0,2020,698,沈阳化工,2019.0
6.0,2021,600143,金发科技,2015.0
1.0,2019,600594,益佰制药,2018.0
1.0,2021,700,模塑科技,2020.0
1.0,2018,600145,*ST 新亿,2017.0
1.0,2020,300175,朗源股份,2019.0
0.0,2022,702,正虹科技,2022.0
6.0,2021,600145,*ST 新亿,2015.0
0.0,2019,300175,朗源股份,2019.0
2.0,2020,710,贝瑞基因,2018.0
5.0,2021,600145,*ST 新亿,2016.0
1.0,2021,603758,秦安股份,2020.0
1.0,2020,710,贝瑞基因,2019.0
4.0,2022,600145,*ST 新亿,2018.0
0.0,2021,603758,秦安股份,2021.0
1.0,2021,711,京蓝科技,2020.0
3.0,2022,600145,*ST 新亿,2019.0
4.0,2021,716,黑芝麻,2017.0
4.0,2022,600145,退市新亿,2018.0
2.0,2019,300023,宝德股份,2017.0
3.0,2021,716,黑芝麻,2018.0
3.0,2022,600145,退市新亿,2019.0
5.0,2018,717,韶钢松山,2013.0
0.0,2018,600165,新日恒力,2018.0
1.0,2020,300044,赛为智能,2019.0
3.0,2018,717,韶钢松山,2015.0
3.0,2019,600172,黄河旋风,2016.0
0.0,2020,300240,飞力达,2020.0
0.0,2018,717,韶钢松山,2018.0
2.0,2023,600172,黄河旋风,2021.0
5.0,2021,300311,任子行,2016.0
10.0,2019,719,中原传媒,2009.0
4.0,2023,600179,安通控股,2019.0
4.0,2021,300311,任子行,2017.0
9.0,2019,719,中原传媒,2010.0
2.0,2022,600190,锦州港,2020.0
3.0,2021,300311,任子行,2018.0
8.0,2019,719,中原传媒,2011.0
3.0,2022,600203,福日电子,2019.0
7.0,2019,719,中原传媒,2012.0
2.0,2022,600203,福日电子,2020.0
1.0,2019,300192,科斯伍德,2018.0
6.0,2019,719,中原传媒,2013.0
2.0,2020,600215,*ST 经开,2018.0
1.0,2022,688418,震有科技,2021.0
5.0,2019,719,中原传媒,2014.0
6.0,2023,600217,中再资环,2017.0
1.0,2022,300203,聚光科技,2021.0
4.0,2019,719,中原传媒,2015.0
5.0,2023,600217,中再资环,2018.0
2.0,2018,2504,*ST 弘高,2016.0
3.0,2019,719,中原传媒,2016.0
4.0,2023,600217,中再资环,2019.0
2.0,2018,2194,*ST 凡谷,2016.0
2.0,2019,719,中原传媒,2017.0
3.0,2023,600217,中再资环,2020.0
4.0,2021,2529,*ST 海源,2017.0
1.0,2019,719,中原传媒,2018.0
4.0,2022,600221,ST 海航,2018.0
3.0,2021,2529,*ST 海源,2018.0
2.0,2020,723,美锦能源,2018.0
3.0,2022,600221,ST 海航,2019.0
4.0,2018,731,四川美丰,2014.0
2.0,2023,600234,科新发展,2021.0
3.0,2018,731,四川美丰,2015.0
4.0,2023,600242,*ST 中昌,2019.0
2.0,2018,731,四川美丰,2016.0
5.0,2017,600247,ST 成城,2012.0
1.0,2020,732,泰禾集团,2019.0
3.0,2022,600248,陕西建工,2019.0
2.0,2023,735,罗牛山,2021.0
2.0,2023,600251,冠农股份,2021.0
0.0,2021,736,中交地产,2021.0
1.0,2022,600260,*ST 凯乐,2021.0
